,w_wg_list,n_eff2,n_eff3,n_eff4
0,0.2,1.9225828509267753,1.9225830084483364,1.9225828455798595
1,0.21,1.9225831100682869,1.9225828419806197,1.9225828505821827
2,0.22,1.9244221501614225,1.924422186296348,1.9244221707757558
3,0.23,1.9263956031169558,1.9263955217376436,1.9263955385248306
4,0.24,1.9263961951859803,1.9263955629192602,1.9263955380869475
5,0.25,1.9263952085098333,1.9263955724907649,1.9263955385993938
6,0.26,1.9263961363929576,1.9263955157389074,1.9263955385392788
7,0.27,1.9313546568783688,1.9313553985679093,1.9313553649716402
8,0.28,1.931354388180357,1.9313554345133899,1.931355367808836
9,0.29,1.9313564528271139,1.9313555157399342,1.9313553758124744
10,0.3,1.9313542372636823,1.9313554187488917,1.931355328554285
11,0.31,1.938123439790605,1.9381189546495146,1.9381221652172926
12,0.32,1.938117193511522,1.9381238749888605,1.9381280233052733
13,0.33,1.9381216489385995,1.938120864767123,1.9381217212638209
14,0.34,1.9381224590485124,1.9381222205507636,1.9381219502575042
15,0.35,2.0220848112695817,2.0220905376726637,2.0220899210531593
16,0.36,2.0220966889970557,2.0220898590675036,2.022089896501451
17,0.37,2.022084482291805,2.022089940727709,2.022089804813276
18,0.38,2.0220891777690784,2.022090503479658,2.022089850034381
19,0.39,2.0967569280801333,2.096747527014065,2.096747546810196
20,0.4,2.096754855038301,2.096747512410218,2.096747530854908
21,0.41,2.0967509101169477,2.096747554006933,2.096747573205698
22,0.42,2.129284453171149,2.1292901534450865,2.129289727457095
23,0.43,2.158890713984155,2.1588940127280387,2.1588937336816514
24,0.44,2.1588968196600886,2.1588936574613324,2.1588937298083914
25,0.45,2.158884252364884,2.1588937444032292,2.158893738837348
26,0.46,2.1858073687792077,2.1858133506010273,2.1858133460252596
27,0.47,2.2103065913126776,2.210313116882266,2.210313124064106
28,0.48,2.2103013457629785,2.210313157124347,2.2103131275687256
29,0.49,2.210330041570256,2.210312835575999,2.210313123306187
30,0.5,2.2326368967662473,2.232631838767883,2.2326318342408786
31,0.51,2.252995705650563,2.2529965050548264,2.2529962946797633
32,0.52,2.2529981953414477,2.252996294407194,2.25299629657098
33,0.53,2.252983239255652,2.2529963244022544,2.2529963302277394
34,0.54,2.2715933041975833,2.2716039023923527,2.271604828095507
35,0.55,2.2886378612845655,2.2886410645046076,2.288641056264915
36,0.56,2.2886353667763415,2.2886407587452435,2.2886410539230044
37,0.57,2.2886352152338953,2.2886408009257635,2.2886410528090106
38,0.58,2.3042708352878263,2.3042645259648333,2.304263996801125
39,0.59,2.318620559838997,2.3186259555515827,2.3186195119996547
40,0.6,2.318615919917601,2.318618977848265,2.3186195128245215
41,0.61,2.3186137226593013,2.31862200761839,2.318619512294979
42,0.62,2.3318296138359558,2.3318314919112693,2.331833385710645
43,0.63,2.3593980821337586,2.359412682478795,2.35939721038494
44,0.64,2.359370339715198,2.359398767825126,2.3593972122422735
45,0.65,2.359418564236139,2.359396739063128,2.359397212198768
46,0.66,2.4472510747418283,2.4472388079155905,2.447239861887343
47,0.67,2.447233619239435,2.4472353879370496,2.447239861957705
48,0.68,2.4472248854697054,2.4472409153712396,2.447239861908687
49,0.69,2.4472691793357915,2.4472397044480596,2.4472398618072644
50,0.7,2.4871884066762537,2.4871931697445735,2.48718900276658
51,0.71,2.524471041615335,2.5244838652997945,2.524484386180577
52,0.72,2.524483681301073,2.524485613180986,2.5244843861800987
53,0.73,2.524482105994965,2.5244833579749253,2.524484386180292
54,0.74,2.559225795191767,2.5592298535693043,2.559229917724844
55,0.75,2.5915702104798446,2.591573105789185,2.591572022164299
56,0.76,2.5915911915697394,2.5915723947670726,2.5915720221715772
57,0.77,2.591591168140451,2.591572324975539,2.591572022173643
58,0.78,2.621673109627297,2.621678597528377,2.6216714607766676
59,0.79,2.649696247572253,2.6496944607677544,2.649694545744492
60,0.8,2.6496958511232602,2.6496931816034293,2.649694545744814
61,0.81,2.6496918180705893,2.6496948029854903,2.6496945457446257
62,0.82,2.6758009816752155,2.675801641603513,2.6758016472092505
63,0.83,2.700142669363143,2.7001465146185537,2.70014647469014
64,0.84,2.7001566203780754,2.700146423696257,2.7001464746790518
65,0.85,2.7001486471899447,2.7001465859525946,2.7001464746899755
66,0.86,2.722878423498423,2.7228697283921885,2.7228710820505166
67,0.87,2.7441149985385374,2.7441079163872986,2.744107906499274
68,0.88,2.7441093057296686,2.744107792611601,2.7441079064746043
69,0.89,2.744107576294667,2.7441081956165805,2.7441079064710605
70,0.9,2.7639828702416542,2.763976857025192,2.7639772315684787
71,0.91,2.7825872873308133,2.782589984921475,2.782590046087101
72,0.92,2.7825877366893557,2.782590061893228,2.7825900491687268
73,0.93,2.7825663282253945,2.7825900164157,2.7825900463540982
74,0.94,2.800045886719648,2.800046491953767,2.800046363279712
75,0.95,2.816440220916837,2.816438293355356,2.8164382410833935
76,0.96,2.8164425906724078,2.816438245259911,2.816438241674645
77,0.97,2.816447621490027,2.8164382301713755,2.816438241980228
78,0.98,2.8318360775206126,2.831848307033842,2.8318483012321067
79,0.99,2.846352755588177,2.8463527412576073,2.846352736810191
80,1.0,2.8463524324357996,2.8463527393942925,2.8463527421999677
